ticker,ann_date,entry_day,surprise,ear,fwd_1,fwd_5,fwd_20,fwd_60
HON,2011-10-21,2011-10-24,-13.24,0.03682220849825435,-0.0010310748467861064,0.012089747550589447,0.04417328861333358,0.057816261154373105
HON,2011-07-22,2011-07-25,2.02,-0.02790524286118834,-0.013315468968960742,-0.019813763719988775,-0.09197077378563567,-0.03809248219589645
HON,2011-04-20,2011-04-21,7.25,0.03792496750449548,-0.005541116720261141,-0.011409129648838112,-0.021703991463831174,-0.04588303515009706
HON,2011-01-28,2011-01-31,1.2,0.011686639448656333,0.0005959613193913249,-0.005570428068933042,-0.0037449172127510533,0.044809414623206534
HON,2010-10-22,2010-10-25,1.49,0.013602116845520262,-0.005428241600700101,-0.013926753935911251,0.03862557681845091,0.0708577875062173
HON,2010-07-23,2010-07-26,4.26,0.009647773405947024,-0.010391770284873703,-0.01440201699338517,-0.038598634966120926,0.007347401374532714
HON,2010-04-23,2010-04-26,4.87,0.014769161078935111,-0.0039030187617257184,0.013213000887340232,-0.014988510010992773,-0.028719657158988388
HON,2010-01-29,2010-02-01,0.65,-0.015813408724414724,-0.008293879806763993,-0.03443367005404108,0.01258943058608275,0.10531443531408757
HON,2009-10-23,2009-10-26,5.69,0.0011121742939944612,-0.0012489540907362207,-0.016335936932828643,-0.003217225052193351,0.038400986093799494
HON,2009-07-27,2009-07-28,0.32,0.006440534072119197,-0.0007691323843114217,0.015218690173411265,0.054463320371325175,-0.019137002781530965
HON,2009-04-24,2009-04-27,-0.4,-0.06974278165666747,-0.02556764208584572,-0.018450490109905848,0.02360140558774293,-0.007207342065992162
HON,2009-01-30,2009-02-02,-0.21,-0.00241227909079067,-0.018444936028014225,-0.0006984134309180323,-0.0649124435912305,-0.08553111963117654
HON,2008-10-17,2008-10-20,1.89,-0.0928684735056523,0.0005819153830812773,0.03262410788907333,0.020268540995526663,0.24841173373983838
HON,2008-07-18,2008-07-21,2.81,-0.02684362923732897,0.038414009497591994,0.02293086408671452,-0.008697339765570522,-0.1491740447154033
HON,2008-04-18,2008-04-21,3.16,0.041146352778433926,-0.012156080615953302,-0.0066361965769259346,0.002880653045104209,-0.07753476974633722
HON,2008-01-24,2008-01-25,0.11,0.03709887057836592,-0.005034461662128509,-0.015509938819630031,-0.033223666824812814,-0.017409454903301036
HON,2007-10-19,2007-10-22,-0.61,-0.021521218837880385,0.0015281947390037853,0.0031563959383444917,-0.008960330515275894,0.06894872443963707
HON,2007-07-19,2007-07-20,2.9,0.01321628487968951,0.004975943161930285,0.01610863650605565,-0.04526355351907008,-0.0032816180000587725
HON,2007-04-20,2007-04-23,6.97,0.03859392504026693,0.032192783356932875,0.056029714254199225,0.11267297378423802,0.1390554028388713
HON,2007-01-26,2007-01-29,0.28,0.0021555618817891142,0.015365152032141172,0.02075905867180805,0.06702919652360106,0.17055107918365575
HON,2006-10-19,2006-10-20,3.99,-0.023645976683422387,0.0047486100662157416,0.006568496884541197,0.008994125367097094,0.04229260635897636
HON,2006-07-20,2006-07-21,2.61,-0.03924195889869908,0.0071734008734603005,0.02410055025328184,0.04160205328358457,0.08575448751957815
HON,2006-04-19,2006-04-20,6.43,-0.010762490376541312,-0.006539971307866321,-0.015208388134447692,-0.012707356999588804,-0.10162974249986678
HON,2006-01-26,2006-01-27,-0.33,0.03368753364932586,0.0065972966569168845,0.05521617859814798,0.09825816718584934,0.14431748471411598
